"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"1","Jagsonpal Pharma","14","1","7","2","6","55","35.83","19.47","52.19","52.37","22.02","22.05","59.26","64.94","","4.33","7.07","7.21","-1.23","2.45","2.45","","603.37","182.64","-12.91","19.76","14.53","12.84","36.79","12.65","37.81","5.34","3.89","-86.19","-11.17","-21.83","6.11","","-0.15","0","67.39","6.22","","61.86","","0","20.26","22.64","23.07","23.11","17.45","17.79","JAGSNPHARM","507789","INE048B01035"
"2","Jyoti Structures","13","0","16","1","1","35","39.83","1.55","50.4","50.11","79.66","8.84","44.04","61.19","","2.16","4.14","4.97","0.69","1.42","1.56","","101.53","183.73","75","6.31","7.32","86.08","78.14","176.35","-0.36","4.07","1.61","7.69","75","31.95","0.42","","0","0","0","6.02","","367","","3.55","1.41","11.57","15.05","6.33","10.66","13.21","JYOTISTRUC","513250","INE197A01024"
"3","Jaro Institute of Technology","9","1","9","0","3","50","27.83","8.9","31.95","13.03","","33.13","83.58","68.17","","3.03","12.4","21.61","","4.43","3.67","","","","125.94","25.97","15.03","32.26","20.34","1487.67","159","","4.26","-16.2","125.14","","17.52","","0","0","57.33","3.09","","19.47","","0.3","37.38","22.25","24.93","30.11","22.85","19.71","JARO","544534","INE00YJ01010"
"4","Shree Digvijay Cement ","14","2","9","1","3","40","45.17","3.62","50.4","50.95","15.96","9.24","67.05","80.02","","3.01","4.14","3.63","-0.59","1.42","1.37","","","-54.43","-25.84","9.3","4.93","86.08","78.14","42.98","3.86","1.39","1.45","2200","-25.81","-49.84","2.54","","-9.54","0","45.12","1.3","","24.24","","0.3","7.89","11.57","8.19","6.92","10.66","7.47","SHREDIGCEM","502180","INE232A01011"
"5","Centrum Capital","21","1","8","2","3","30","38.67","0.42","50.26","45.38","11.5","42.54","1486.35","1694.27","","2.44","6.46","113.92","-0.89","2.32","5.84","","-1397.8","-6.08","-191.84","31.38","-3.48","2.56","11.8","-39.04","-44.72","0.28","0.3","-68.42","-190.91","9.77","-2.77","","0","47.24","34.84","0.98","","0.95","","58.08","72.53","17.81","28.64","-67.13","17.34","20.82","CENTRUM","501150","INE660C01027"
"6","Zuari Agro Chemicals","8","1","23","0","8","65","79.83","2.14","51.46","51.46","4.39","9.52","422.61","1319.56","","0.44","13.25","13.25","0","0.95","0.95","","120.54","26.32","714.47","9.49","20.05","80.31","151.11","80.31","151.11","0.17","0.23","893.16","714.27","447.3","232.9","","0","21.51","65.21","1.17","","2.51","","0.34","11.75","20.27","20.27","8.87","11.93","11.93","ZUARI","534742","INE840M01016"
"7","Raj Rayon Industries","12","1","16","0","6","65","51.5","3.99","47.61","48.96","38.81","4.03","34.28","61.33","","8.09","16.3","3.57","0.06","3.03","4.28","","140.71","-97.85","32.06","5.42","3.52","4.96","-13.36","-26.38","-44.53","1.3","1.09","187.5","27.27","552.74","0.64","","0","0","94.13","0.83","","2.52","","2.44","7.72","27.03","14.98","14.16","21.4","12.07","RAJRILTD","530699","INE533D01032"
"8","Indo Rama Synthetics","6","2","15","2","8","85","71.17","1.97","47.61","48.96","9.6","4.85","206.83","334.52","","2.49","16.3","3.57","0.05","3.03","4.28","","100.44","-99.48","-53.46","6.23","2.9","4.96","-13.36","-26.38","-44.53","0.21","0.23","155.62","-53.47","170.02","5.44","","0","0","74.84","0.62","","1.32","","3.06","20.27","27.03","14.98","0.38","21.4","12.07","INDORAMA","500207","INE156A01020"
"9","Yash Highvoltage","10","0","11","1","4","","21.67","","51.2","49.49","11.6","22.65","34.01","34.01","","6.97","12.04","9.55","","3.49","3.57","","662.92","145.72","","","","23.52","10.25","45.5","4.63","2.95","","","","","7.5","","","0","57.94","2.88","","10.79","","0.15","20.22","24.14","21.54","14.5","20.49","18.92","","544310","INE00GK01023"
"10","Syncom Formulation","9","1","16","4","8","80","46.33","11.99","52.19","52.37","21.66","15.39","71.57","89.01","","2.95","7.07","7.21","0.2","2.45","2.45","","","149.79","5.37","12.95","12.24","12.84","36.79","12.65","37.81","3.33","2.17","12.5","-14.29","90.22","0.67","","0","0","50.57","4.55","","82.74","","0.01","18.75","22.64","23.07","14.44","17.45","17.79","","524470","INE312C01025"
