"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"1","Indian Railway Catering","14","3","15","5","6","70","28.83","11.57","31.95","49.49","31.49","38.05","1778.88","1896.92","407.75","11.41","12.4","9.82","2.47","4.43","4.84","","","","3.42","33.42","28.59","32.26","20.34","-1.83","20.92","12.44","10.13","11.17","3.63","14.36","17.15","","0","0","62.4","2.03","","105.31","","0","43.19","22.25","31.43","35.89","22.85","26.89","IRCTC","542830","INE335Y01020"
"2","Linde","13","1","15","4","6","65","23","23.77","51.2","45.93","63.82","33.51","832.93","921.52","","12.47","12.04","11.38","6.43","3.49","6.14","","-37.45","-10.33","59.53","36.53","21.26","23.52","10.25","66.24","20.73","21.45","20.65","60.66","59.51","15.11","60.14","","0","0","75","0.97","","65.96","3.5","0","15.04","24.14","15.26","11.9","20.49","12.42","LINDEINDIA","523457","INE473A01011"
"3","Bank of Maharashtra","4","1","35","5","6","65","58","1.27","50.26","56.8","","","9611.13","22244.34","2687.5","1.87","6.46","2.3","0.34","2.32","2.15","8.28","1289.48","380.46","7.81","36.81","22.91","2.56","11.8","6.52","16.07","1.42","1.77","27.17","7.83","22.87","8.42","","-6","0","73.6","","","1.7","","0.89","6.28","17.81","6.84","20.66","17.34","14.63","MAHABANK","532525","INE457A01014"
"4","M&M Financial","15","1","23","2","2","35","35.67","1.23","50.26","38.95","12.67","63.36","11698.32","12454.3","1538.8","2.04","6.46","4.06","1.56","2.32","1.41","","110.38","98.96","6.94","62.92","12.52","2.56","11.8","-1.86","1.44","1.89","2.57","28.89","0","13.17","17.75","","0","0","52.49","1.88","","1.39","","5.53","16.38","17.81","34.62","10.5","17.34","14.63","M&MFIN","532720","INE774D01024"
"5","Nippon Life Asset Mgmt","12","1","16","7","6","55","26.33","69.5","50.26","29.32","21.02","77.62","1731.66","1789.57","448.26","11.61","6.46","20.45","33.33","2.32","10.73","","209.79","72.86","-13","64.84","55.17","2.56","11.8","6.29","20.84","16.45","21.04","-4.75","-13.14","1.14","20.95","","-0.05","0","72.05","14.02","","256.92","1.85","0","38.6","17.81","60.44","30.53","17.34","47.77","NAM-INDIA","540767","INE298J01013"
"6","The Fertilisers and Chemicals","16","2","7","3","6","65","22.67","7.73","51.46","51.46","129.71","7.68","311.29","416.18","","37.45","13.25","13.25","1.96","0.95","0.95","","-95.77","-88.33","387.38","3.85","2.22","80.31","151.11","80.31","151.11","10.22","10.98","88.24","357.14","251.91","1.61","","0","0","90","1.03","","1.27","","1.29","17.65","20.27","20.27","3","11.93","11.93","FACT","590024","INE188A01015"
"7","MphasiS","7","0","14","7","6","60","35.83","8.06","53.73","55.3","16.21","20.39","2901.98","3121.17","634.73","5.54","9.84","10","3.25","9.9","10.56","","43.66","18.96","-5.73","18.76","11.73","-9.63","7.88","-9.36","6.66","3.34","3.48","2.83","-5.8","9.13","94.67","34.08","-9.51","0","30.59","1.57","","17.53","44.8","0.12","23.19","37.81","39.64","17.67","30.66","32.17","MPHASIS","526299","INE356A01018"
"8","Oberoi Realty","11","4","10","1","5","55","32.83","6","43.22","48.08","18.77","62.25","3290.95","3277.42","1084.3","3.19","3.69","4.37","-1.79","4.84","5.39","","222.85","112.54","-18.1","55.75","41.36","28.06","70.67","35.84","75.05","11.25","9.86","0.65","-18.13","-13.29","61.53","","0","0","67.7","4.34","","12.41","60.5","0.21","16.64","10.88","11.57","14.17","11.26","11.96","OBEROIRLTY","533273","INE093I01010"
"9","Bharat Dynamics","12","2","12","2","5","50","23","5.46","51.2","53.63","51.97","24.59","822.77","959.41","","12.77","12.04","10.78","4.53","3.49","2.4","","2.76","9.95","1076.49","14.19","16.34","23.52","10.25","36.58","18.77","14.03","13.45","76.35","1078","18.17","17.84","","0","0","74.93","2.38","","248.64","0.8","0","10.18","24.14","25.11","13.71","20.49","23.88","BDL","541143","INE171Z01026"
"10","Laurus Labs","10","1","20","5","6","60","33.83","8.23","52.19","52.37","32.07","20.07","1115.21","1787.92","374.65","11.24","7.07","7.21","0.2","2.45","2.45","","40.37","-56.7","29.08","25.09","12.55","12.84","36.79","12.65","37.81","5.96","8.03","173.1","29.36","321.11","15.62","","-0.1","2.69","27.49","1.22","","5.55","41.7","0.6","11.82","22.64","23.07","8.01","17.45","17.79","LAURUSLABS","540222","INE947Q01028"
"11","Hindustan Copper","6","1","26","5","8","85","24.17","40.62","60.22","70.14","26.3","39.34","814.89","951.27","","18.23","6.45","17.81","2.32","5.83","2.28","","181.67","24.42","36.9","37.86","24.77","-12.63","18.76","39.21","41.98","10.3","23.7","80","35.97","41.18","5.87","","0","0","66.14","1.37","","117.62","","0.06","21.26","23.41","21.79","17.47","24.83","17.46","HINDCOPPER","513599","INE531E01026"
