"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"83","Housing and Urban","14","2","20","4","4","35","37","0.8","50.26","48","14.16","100.8","10394.75","11520.74","","2.2","6.46","1.87","1.04","2.32","1.3","","58.6","57.84","12.63","97.44","23.83","2.56","11.8","-6.51","14.03","3.87","3.37","3.2","12.7","13.67","14","","0","0","75","1.18","","1.54","","5.97","52.29","17.81","56.21","15.07","17.34","16.03","HUDCO","540530","INE031A01017"
"84","Cochin Shipyard","12","1","15","5","5","55","23","4.02","52.91","57.67","26.81","26.28","1266.92","1203.8","186.1","7.03","8.89","4.9","-4.28","1.69","1.18","","30.9","46.7","-42.75","16.07","14.91","0.75","7.1","-5.59","33.36","7.68","7.87","-43.04","-42.72","-12.34","28.87","","0","0","67.91","1.33","","32.84","","0.01","19","14.28","14.11","14.82","30.44","16.62","COCHINSHIP","540678","INE704P01025"
"85","L&T Technology ","13","3","5","6","5","50","33.83","9.25","53.73","55.3","21.96","19.7","2102.5","2122.9","428.03","6.5","9.84","10","-10.8","9.9","10.56","","54.74","32.36","-7.94","16.53","10.71","-9.63","7.88","-9.36","6.66","4.47","3.43","-6.27","-7.93","-2.96","118.69","","0","0","73.58","2.16","","37.21","14.95","0","27.01","37.81","39.64","20.83","30.66","32.17","LTTS","540115","INE010V01017"
"86","Piramal Finance","6","0","13","3","1","","10","","50.26","38.95","","56.9","4690.57","5660.79","","1.48","6.46","4.06","","2.32","1.41","","","-101.23","22.44","","","2.56","11.8","-1.86","1.44","","","","22.59","","","","","0","46.16","1.25","","1.05","","3.41","23.22","17.81","34.62","-0.03","17.34","14.63","PIRAMALFIN","544597","INE202B01038"
"87","Embassy Office Parks REIT","9","0","16","2","6","","49.17","1.03","43.22","20.79","","61.73","2547.66","2547.66","495","1.7","3.69","7.07","0.37","4.84","1.7","","112.2","82.85","-253.53","60.41","39.36","28.06","70.67","8.96","58.79","0","9.89","-185.62","-253.29","68.51","17.14","","0","0","0","0.16","","1.92","","0.87","3.39","10.88","7.64","7.13","11.26","7.59","EMBASSY","542602","INE041025011"
"88","Petronet LNG","15","0","15","7","8","80","50.83","6.42","53.25","56.09","5.54","12.35","6297.12","5879.16","1036.6","1.97","1.9","1.88","-1.58","0.91","0.47","","46.95","15.55","-1.38","10.62","7.73","5.89","-31.07","-1.91","-57.94","0.86","0.88","-4.48","-1.25","-7.2","24.46","","0","0","50","3.74","","24.4","60","0","23.63","10.1","13.58","19.98","9.53","11.76","PETRONET","532522","INE347G01014"
"89","JK Cement","10","2","8","10","6","75","39.33","3.87","50.4","50.95","19.36","18.52","2200.09","2607.9","580.6","6.53","4.14","3.63","1","1.42","1.37","","74.88","25.32","8.78","18.31","7.6","86.08","78.14","42.98","3.86","3.21","3.16","-7.91","8.76","41.65","132","","0","0","45.66","1.28","","4.79","123.85","0.97","12.51","11.57","8.19","14.14","10.66","7.47","JKCEMENT","532644","INE823G01014"
"90","Tube Investments","20","2","7","8","4","40","33","5.31","48.77","50.85","25.48","11.4","2220.31","2309.84","","5.63","7.12","5.9","-1.48","2.94","4.12","","119.92","-12.37","-6.14","9.22","3.01","235.34","0.52","14.61","2.2","2.75","2.04","-9.73","-6.13","-45.72","32.33","","-0.04","0.01","44.05","1.8","","34.99","2","0.08","16.1","20.66","18.62","12.17","18.57","14.6","TIINDIA","540762","INE974X01010"
"91","Hexaware Technologies","12","1","11","6","5","55","38.83","9.6","53.73","55.3","","15.9","1905.1","2222.2","493.25","8.02","9.84","10","0.92","9.9","10.56","","","","-2.55","15.44","10.65","-9.63","7.88","-9.36","6.66","","3.23","22.29","-2.56","32.93","22.93","","-0.25","0","74.3","1.58","","28.87","","0","26.56","37.81","39.64","21.96","30.66","32.17","HEXT","544362","INE093A01041"
"92","Supreme Industries","10","2","11","10","5","60","29.17","19.92","51.2","48.98","28.57","14.25","1489.49","1395.03","345.4","7.65","12.04","7.22","-2.65","3.49","1.15","","105.58","-0.78","-6.9","12.56","7.6","23.52","10.25","0.35","5.75","4.16","4.08","-18","-6.94","-20.3","64.11","35.15","0.06","0","48.96","2.36","","125.17","9","0","19.31","24.14","18.58","16.97","20.49","15.29","SUPREMEIND","509930","INE195A01028"
"93","Motilal Oswal ","15","2","7","3","4","40","32.5","2.58","50.26","43.38","8.91","55.44","4623.48","3989.29","","3.42","6.46","14.96","-0.57","2.32","1.35","","1264.26","91","56.16","50.01","25.68","2.56","11.8","11.49","23.45","4.42","5.58","-0.11","55.96","-38.42","33.7","","-0.07","0","67.62","2.78","","3.56","","1.33","20.38","17.81","35.44","22.58","17.34","28.72","MOTILALOFS","532892","INE338I01027"
"94","Authum Investment","15","2","11","1","7","75","25","21.29","50.26","38.95","7.2","90.17","4128.65","3650.56","","2.71","6.46","4.06","-6.77","2.32","1.41","","","","-18.68","93.33","103.16","2.56","11.8","-1.86","1.44","6.42","11.32","-8.97","-18.62","-1.62","47.24","","0","0","68.79","12.89","","79.41","","0.05","27.66","17.81","34.62","28.87","17.34","14.63","AIIL","539177","INE206F01022"
"95","Voltas","13","0","15","5","5","70","25.5","5.62","46.64","38.5","33.64","9.34","1440.64","1064.53","127.43","6.91","8.99","10.55","-70.14","3.93","7.87","","62.68","66.91","-75.59","5.5","3.87","25.77","16.72","-7.75","87.99","3.13","3.11","-74.57","-75.76","-1.15","16.56","","0","0","30.3","1.48","","23.19","17.5","0.13","19.31","24.97","28.93","12.91","20.74","25.06","VOLTAS","500575","INE226A01021"
"96","Tata Communications","8","2","16","1","6","65","48.5","2.57","60.72","63.54","11.76","20.33","4699.33","5685.28","","15.57","9.49","8.6","0.42","0.28","0.92","","2236.3","23.93","99.54","19.23","7.34","106.81","120","10.61","70.22","1.95","1.83","54.83","99.69","59.21","62.41","","0","0","58.86","0.58","","6.45","200","3.6","14.96","16.03","22.28","60.78","24.88","34.24","TATACOMM","500483","INE151A01013"
"97","360 One Wam","10","2","16","6","3","45","25.83","3.17","50.26","43.38","19.68","72.59","2392","2666.99","399","4.83","6.46","14.96","2.29","2.32","1.35","","404.71","75.74","3.74","61.22","29.22","2.56","11.8","11.49","23.45","11.25","11.2","11.29","3.59","16.73","29.04","","-0.01","0","6.25","1.44","","2.7","","1.57","31.74","17.81","35.44","14.37","17.34","28.72","360ONE","542772","INE466L01038"
"98","Godrej Properties","14","1","11","8","5","60","27.83","1.33","43.22","48.08","34.24","42.42","2088.57","2607.35","-114.9","2.5","3.69","4.37","2.54","4.84","5.39","","417.48","297.28","-32.5","-14.5","36.33","28.06","70.67","35.84","75.05","13.02","10.72","11.53","-32.48","11.6","51.45","","0.12","0","47.17","1.51","","12.02","115","0.73","9.28","10.88","11.57","8.08","11.26","11.96","GODREJPROP","533150","INE484J01027"
"99","Balkrishna Industries","5","0","16","4","6","65","33","6.78","48.77","54.06","17.51","28.68","2996.39","2696.63","384.95","4.48","7.12","3.21","-2.21","2.94","1.57","","72.45","15.3","-5.24","21.32","13.18","235.34","0.52","22.05","-16.68","4.72","4.47","-21.28","-5.23","-15.32","71.36","","0","0","58.29","1.32","","23.35","34.6","0.31","20.29","20.66","15.11","15.93","18.57","11.24","BALKRISIND","502355","INE787D01026"
"100","PI Industries","14","0","12","5","4","55","30.67","15.45","51.56","52.2","19.68","31.62","2523.2","2345.7","352.69","4.42","6.31","3.66","-2.14","19.34","4.4","","263.6","96.75","2.32","27.18","20.27","0.3","28.87","26.21","98.53","6.52","6.42","-19.49","2.31","-14.79","99.69","","0","0","46.09","4.02","","76.46","4.53","0.01","20.57","16.66","16.45","16.34","12.97","11.75","PIIND","523642","INE603J01030"
