"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"1","Birlasoft","9","0","6","6","4","40","40","9.28","53.73","55.3","12.82","14.99","805.98","804.84","174.15","3","9.84","10","-0.95","9.9","10.56","","130.34","11.46","9.08","13.4","8.72","-9.63","7.88","-9.36","6.66","2","2.1","-9.37","9.19","-25.41","16.56","","-0.02","0","40.51","4.03","","34.39","5.2","0","19.58","37.81","39.64","14.85","30.66","32.17","BSOFT","532400","INE836A01035"
"2","Indegene","15","1","10","6","5","65","39.33","11.89","44.15","48.02","21","22.59","641.5","680.3","140","3.9","8.43","8.86","1.28","4.59","2.07","","","146.84","-12.29","18.91","14.66","16.82","90.18","1.66","32.6","4.88","3.67","10.94","-12.35","19.61","18.56","","0","0","0","4.48","","29.16","","0","20.32","15.63","22.59","15.55","22.02","19.99","INDGN","544172","INE065X01017"
"3","Reliance Power","17","2","6","1","6","55","48.67","0.53","45.6","53.1","11.3","36.69","2782.4","2891.5","","0.69","4.75","2.96","-0.5","2.66","1.66","","172.31","586.51","95.43","29.45","3.89","-5.25","3.78","-0.68","2.34","2.28","1.48","-97.07","90.91","-75.96","0.72","","0","0","24.98","0.44","","1.35","","0.93","5.91","12.33","13.1","18.04","14.71","16.72","RPOWER","532939","INE614G01033"
"4","Indian Energy Exchange","10","1","12","1","4","60","34.67","8.06","50.26","43.38","27.08","106.79","573.77","615.79","","9.11","6.46","14.96","1.27","2.32","1.35","","144.24","38.77","2.2","84.77","82.19","2.56","11.8","11.49","23.45","29.13","19.95","13.93","2.21","19.12","5.25","","0","0","0","1.57","","219.26","","0","46.42","17.81","35.44","37.76","17.34","28.72","IEX","540750","INE022Q01020"
"5","Jindal Saw","5","1","14","1","7","65","57.17","2.26","60.22","59.53","5.83","17.03","3548.2","2559.23","","0.94","6.45","2.99","-0.24","5.83","2.57","","213.36","362.47","69.85","13.49","6.15","-12.63","18.76","-11.38","-13.53","0.83","0.62","-49.12","70.17","-42.28","17.59","","0","0","63.25","1.45","","5.69","","0.41","21.35","23.41","10.65","15.23","24.83","6.51","JINDALSAW","500378","INE324A01032"
"6","Jammu & Kashmir Bank","6","0","23","3","7","70","57.67","1.2","50.26","56.8","","","3102.77","10127.2","","0.88","6.46","2.3","11.93","2.32","2.15","7.49","275.92","320.69","17.49","22","16.37","2.56","11.8","6.52","16.07","0.81","0.87","10","17.59","0.45","19.46","","0","0","59.4","","","1.44","","0.18","5.86","17.81","6.84","16.05","17.34","14.63","J&KBANK","532209","INE168A01041"
"7","Sammaan Capital","10","1","14","2","5","55","70.17","0.92","50.26","42.77","18.7","28.97","2498.81","6577.92","","0.51","6.46","2.45","0.05","2.32","0.83","","-182.16","-253.47","-7.73","74.43","14.46","2.56","11.8","2.02","-5.34","1.01","1.31","108.57","-7.56","170.05","15.3","","0","0","0","1.42","","0.52","","1.96","10.83","17.81","44.45","-8.28","17.34","13.12","SAMMAANCAP","535789","INE148I01020"
"8","Zen Technologies","11","1","13","0","3","55","24.83","21.91","51.2","53.63","28.85","44.36","431.91","406.47","","6.43","12.04","10.78","2.23","3.49","2.4","","376.86","14017.38","24.39","38.52","30.65","23.52","10.25","36.58","18.77","13.7","14.29","-8.95","24.48","20.93","27.46","","0","0","48.51","6.57","","41.63","0.2","0.03","23.07","24.14","25.11","16.47","20.49","23.88","ZENTEC","533339","INE251B01027"
"9","Signatureglobal","22","2","14","4","7","70","31.17","0.98","43.22","48.08","88.26","7.36","183.94","167.02","66.1","15.91","3.69","4.37","3.42","4.84","5.39","","","186.83","-236.15","0.62","3.05","28.06","70.67","35.84","75.05","6.15","4.53","-1251.72","-236.33","43.45","5.53","","0","0","69.63","1.18","","3.57","22.7","3.26","6.7","10.88","11.57","13.9","11.26","11.96","SIGNATURE","543990","INE903U01023"
"10","Aavas Financiers","13","2","16","6","3","30","33","1.24","50.26","42.77","16.22","75.45","1776.51","1881.38","226.57","2.51","6.46","2.45","1.49","2.32","0.83","","130.45","60.91","17.74","74.31","23.87","2.56","11.8","2.02","-5.34","7.02","4.65","10.81","17.74","13.13","76.19","","-0.01","0","48.95","1.31","","1.76","281.1","3.18","38.75","17.81","44.45","13.16","17.34","13.12","AAVAS","541988","INE216P01012"
