Sl No,Stock,Market Cap,ROE Ann  %,Industry ROE,Industry ROCE,Industry ROA,Industry PBV TTM,Industry PEG TTM,Industry PE TTM,Industry Score,Industry Market Cap ,Sector Market Cap ,Sector Score,Sector PE TTM,Sector PEG TTM,Sector PBV TTM,Sector ROE,Sector ROCE,Sector ROA,ROCE Ann  %,ROCE Ann  3Y Avg %,ROCE Ann  5Y Avg %,ROCE Ann  1Y Ago %,LT Debt To Equity Ann ,LT Debt To Equity Ann  1Y Ago,Total Debt to Total Equity Ann ,Interest Ann ,Interest Ann  1Y Ago,Interest Ann  2Y Ago,Interest Ann  3Y Ago,Interest Ann  4Y Ago,Interest Ann  5Y Ago,Interest TTM,Interest Coverage Ratio Ann ,Interest Coverage Ratio Ann  1Y Ago,Interest Coverage Post Tax Ann  %,FC Est  1Q fwd Interest Expense Qtr,NSE Code,BSE Code,ISIN,Gross NPA ratio Qtr %,Gross NPA ratio 4Q Ago %,Gross NPA ratio 8Q Ago %,Gross NPA Ratio Qtr 1Q ago %,Gross NPA ratio % Qtr QoQ change,Rev  Gross From Operations Ann ,Rev  Net From Operations Ann ,Capital Adequacy Ratios Ann  %,Profit From Continuing Operations Ann ,Working Capital Turnover Ann ,Operating Rev  growth TTM %,ROE Ann  %,ROE Ann  1Y Ago %,ROE Ann  2Y Ago %,ROE Ann  3Y Ago %,ROE Ann  4Yr Ago %,ROE Ann  5Y Ago %,ROCE Ann  %,ROCE Ann  1Y Ago %,RoA Ann  %,RoA Ann  1Y Ago %,RoA Ann  2Y Ago %,RoA Ann  3Y Ago %,RoA Ann  4Yr Ago %,RoA Ann  5Y Ago %,EPS TTM Growth %,Interest Coverage Ratio Ann ,OPM Ann  %,NPM Ann  %,Net Profit Per Share Ann ,Interest Coverage Post Tax Ann  %,Cash Flow Return on Assets Ann ,Cash Flow Return on Assets Ann  1Y ago,Current Ratio Ann ,Book Value Inc Reval Reserve Ann ,Promoter holding latest %,Promoter holding change QoQ %,Promoter holding change 1Y %,Promoter holding change 2Y %,Promoter holding pledge percentage % Qtr,Promoter pledge change QoQ %,Basic EPS TTM 1Y Ago,Basic EPS TTM,Basic EPS Qtr,Basic EPS 1Q Ago,Basic EPS 2Q Ago,Basic EPS 3Q Ago,Basic EPS 4Q Ago,Basic EPS Ann  5Y Ago,Basic EPS Ann  4Y Ago,Basic EPS Ann  3Y Ago,Basic EPS Ann  2Y Ago,Basic EPS Ann  1Y Ago,Basic EPS Ann ,EPS Ann ,Cash EPS Ann ,Cash EPS Ann  1Y Ago,Cash EPS 1Y Growth %,Cash EPS 3Y Growth %,Cash EPS 5Y Growth %,EPS TTM Growth %,EPS Qtr YoY Growth %,Basic EPS QoQ Growth %,Cash EPS Ann  3Y ago,Cash EPS Ann  5Y ago,FC Est  1Q fwd EPS Qtr,FC Est  1Q fwd Cash EPS Qtr,Price To Sales Ann ,Market Cap Per Sales Ann ,EV Per Net Sales Ann ,Graham Ratio,Price to Cashflow from Operations,Price to Sales TTM,Operating Profit 6Qtr Ago,Operating Profit 7Qtr Ago,Operating Profit Qtr,Operating Profit 1Q Ago,Operating Profit 2Q Ago,Operating Profit 3Q Ago,Operating Profit 4Q Ago,Operating Profit Ann  3Y Ago,Operating Profit Ann  4Y ago,Operating Profit Ann  5Y Ago,Operating Profit Ann ,Operating Profit Ann  1Y Ago,Operating Profit Ann  2Y ago,Operating Profit Margin Qtr %,OPM 1Q ago %,OPM Qtr 4Qtr ago %,Net Profit Qtr,Net Profit 1Q Ago,Net Profit 2Q Ago,Net Profit 3Q Ago,Net Profit 4Q Ago,Net Profit 5Q Ago,Net Profit 6Q Ago,Net Profit 7Q Ago,Net Profit 8Q Ago,Reported PAT Qtr,Net Profit Ann ,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Operating Profit Growth Qtr YoY %,Operating Profit TTM 1Y Ago,Operating Profit TTM,Profit Before Tax Qtr,PBT 1Q Ago,PBT 4Q Ago,PBT Ann ,PBT Ann  1Y Ago,Total Profit Loss Ann ,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,NPM 4Q ago %,NPM 1Q ago %,NPM Qtr %,NPM Ann  1Y ago %,NPM TTM %,Net Profit TTM 5Q Ago,Net Profit TTM 4Q Ago,Net Profit TTM 3Q Ago,OPM Qtr 4Qtr ago %,OPM 1Q ago %,Operating Profit Margin Qtr %,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,OPM TTM %,PEG TTM,EBITDA Qtr,EBITDA 1Q Ago,EBITDA 2Q Ago,EBITDA 3Q Ago,EBITDA 4Q Ago,EBITDA Ann  1Y Ago,EBITDA Ann ,EBITDA TTM,EBITDA Ann  margin %,EBITDA Qtr YoY Growth %,EBITDA Qtr growth YoY %,EBITDA Ann  Margin %,EBIT Ann  Margin %,EV Per EBITDA Ann ,FC Est  1Q forward EBIT Qtr,FC Est  1Q fwd EBITDA Qtr,Altman Zscore,Tobin Q Ratio,Piotroski Score,Graham No ,Valuation Score,Prev Month TL Valuation Score,Durability Score,Prev Month TL Durability Score,Prev Week TL Durability Score,Prev Week TL Valuation Score,Momentum Score,Norm  Momentum Score,Prev Week TL Momentum Score,Prev Month TL Momentum Score,SWOT Strengths,SWOT Weakness,SWOT Threats,SWOT Opportunities,TL Checklist Positive Score,TL Checklist Negative Score
11,Life Insurance Corp,507549.44,37.98,24.64,1.06,0.65,7.21,3.37,79.71,50.56,1023602.32,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,0.97,0.9,0.64,0.79,0,0,0,142.65,127.88,77.43,86.7,113.62,13287.49,0,387.69,331.18,328.43,,LICI,543526,INE0J1Y01017,0,0,0,0,0,489775.39,489775.39,,43514.24,5.5,1.92,37.98,49.44,77.86,36.38,43.21,271.08,0.97,0.79,0.85,0.76,0.78,0.09,0.07,0.07,23.07,387.69,,5.41,68.8,328.43,0,0,4.32,201.15,96.5,0,0,0,0,0,65.65,80.8,15.97,17.32,30.1,17.4,12.22,4.29,4.7,6.52,56.91,64.69,76.4,76.4,69.6,58.99,17.99,11982.81,118.14,23.07,30.69,-7.79,0.58,-383.75,,,0.57,0.57,0.49,1.33,-55.5,0.56,1603.1,10751.11,10628.42,11960.11,21947.91,12013.75,8110.74,5244.54,792.96,-18.08,51808.21,27522.68,35939.2,4.4,5.32,3.51,10098.48,10957.05,19038.67,11008.65,7728.68,10544.33,13781.59,9468.99,8030.28,9016.55,48320.33,40915.85,35996.65,4124.71,2974.14,2710.48,31.04,31769.24,56550.19,11672.73,12739.64,8905.03,54654.23,41757.52,,0.89,5.8,3.2,3.34,4.88,4.18,4.75,5.6,41825.19,41523.59,43063.25,3.51,5.32,4.4,0.89,,3.2,6.19,0.43,10541.68,11256.84,21045.37,12203.24,7394.23,42351.34,55303.35,55047.13,6.19,42.57,42.57,6.21,6.15,7.89,,1973.2,0.29,3.99,6,604.7,46.67,46.33,65,65,65,46.5,34.73,39.03,33.54,50.07,13,10,3,3,12,10
12,Maruti Suzuki,486349.38,15.06,19.63,20.72,9.63,5.52,3.38,31.83,47.1,1264293.04,3452377.03,48.5,34.37,2.94,7.15,18.59,20.67,9.43,19.29,18.24,14.47,19.42,0,0,0,194.2,193.6,187,126.6,101.8,134.2,197.9,129.65,116.84,74.41,44,MARUTI,532500,INE585B01010,0,0,0,0,0,145109.9,145109.9,,14256.3,-150.95,10.62,15.06,15.75,13.28,7.01,8.36,11.48,19.29,19.42,10.98,11.69,9.7,5.19,6.15,8.92,5.41,129.65,,9.18,453.44,74.41,0.12,0.15,0.97,3061.07,58.28,0,0,0.09,0,0,445.97,470.08,106.52,120.62,124.4,118.54,98.68,187.95,145.3,128.43,271.82,429.01,461.2,461.2,631.82,588.1,7.43,193.26,109.97,5.41,7.94,-11.69,215.45,300.91,141.14,,2.37,2.37,2.37,2.67,30.14,3.03,5221.1,4440,5086,4622.6,4844,5076.5,4998.8,5706.2,5351.6,7312.6,20156.3,18526.3,11017.7,12.01,11.97,13.35,3349,3792.4,3911.1,3726.9,3102.5,3759.7,3952.3,3206.8,3764.3,3281.7,14500.2,13488.2,8211,3879.5,4389.1,5676,1.74,19766.5,19629.1,4272,4908,5093.3,19376.1,17170.4,,-1.34,12.76,12.69,8.28,9.82,7.91,9.24,9.2,14683.1,14021.3,14541.4,13.35,11.97,12.01,-1.34,,12.69,12.22,6.09,6032.2,6510.8,6355.2,6134.2,6522,22619.8,25178.5,25032.4,15.94,-7.51,-7.51,16.46,12.79,14.36,4802.97,5946.5,10.11,5.05,5,5792.66,35.5,35,55,55,55,35.33,51.8,58.21,59.4,67.85,10,9,2,4,11,12
13,HCL Technologies,463222.63,24.96,32.22,39.69,20.11,9.89,10.49,27.65,55.32,3476946.41,3894583.67,53.66,28.1,9.82,9.75,30.68,37.82,19.27,30.84,28.77,26.94,27.92,0,0.03,0.03,644,553,353,319,511,505,785,43.46,46.46,28.02,,HCLTECH,532281,INE860A01027,0,0,0,0,0,117055,117055,,17399,3.51,9.63,24.96,23,22.7,21.8,18.6,21.56,30.84,27.92,16.47,15.73,15.89,15.16,12.93,13.33,-3.56,43.46,,14.55,64.08,28.02,0.21,0.22,2.22,256.56,60.81,0,0,0,0,0,62.9,60.66,15.06,15.63,14.18,15.9,16.94,40.75,41.07,49.77,54.79,57.86,64.16,64.09,79.13,73.23,8.05,20.35,48.39,-3.56,-11.1,-3.65,65.75,53.32,17.09,20.71,3.69,3.69,3.53,2.85,20.81,3.66,5793,6117,7412,6545,6035,6482,6860,20530,20048,17316,25504,24198,22628,21.88,20.49,22.95,4076,4235,3843,4307,4591,4235,4257,3986,4350,4082,17390,15702,14851,13499,11145,11057,8.05,25139,26474,5509,5702,6132,23261,20967,,-1.07,21.34,21.72,15.36,13.26,12.03,14.09,13.02,16828,17069,17390,22.95,20.49,21.88,-1.07,,21.72,20.94,-7.9,6841,6960,6491,6931,7337,25693,27989,27223,23.41,-6.76,-6.76,23.91,20.42,14.75,5872.19,6997.66,10.2,6.65,7,598.47,35.33,36.67,65,65,65,35.67,61.13,68.69,60.95,55.93,24,4,1,5,16,7
14,Mahindra & Mahindra,440631.99,16.78,19.63,20.72,9.63,5.52,3.38,31.83,47.1,1264293.04,3452377.03,48.5,34.37,2.94,7.15,18.59,20.67,9.43,14.21,13.59,12.18,13.89,1.03,1.02,1.57,9083.39,7488.21,5829.7,5018.05,6102.22,6021.15,9536.9,3.6,3.61,2.38,55,M&M,500520,INE101A01026,0,0,0,0,0,155645.26,155645.26,,12535.75,4.45,20.43,16.78,17.02,18.24,13.95,4.35,0.31,14.21,13.89,4.65,4.76,4.99,3.77,1.08,0.07,19.94,3.6,,8.01,112.3,2.38,0.01,-0.02,1.4,690.13,18.44,0,-0.04,-0.88,0.02,0,95.42,114.45,32.9,36.58,29.52,28.51,28.43,-1.04,16.15,58.83,91.96,100.7,115.91,115.06,166.71,142.38,17.08,108.2,815.61,19.94,15.72,-10.06,80.07,18.21,32.18,,1.87,1.87,2.58,2.56,138.75,2.51,6603.91,6223.98,8929.09,8227.8,7910.94,8230.73,7133.4,14682.85,13676.55,13191.57,30087.96,24115.88,20285.29,19.37,18.07,18.81,3673.32,4083.32,3295.17,3180.58,3170.72,3282.63,2754.08,2658.4,2347.75,3494.5,12929.1,11268.64,10281.5,6577.32,1812.49,127.04,25.17,27204.41,33298.56,5588.68,5165.97,4273.61,17542.2,14856.36,,0.56,18.65,17.08,8.36,8.97,7.97,7.98,8.1,11042.86,11865.83,12388.01,18.81,18.07,19.37,0.56,,17.08,18.95,1.55,9604.6,9144.72,8612.67,8642.06,7792.62,27068.35,32699.24,36004.05,20.26,23.25,23.25,20.59,16.77,12.55,4743.11,5723.29,2.59,5.72,4,1382.62,34,36,30,30,30,35.67,49.1,55.17,56.95,50.26,15,14,2,11,11,12
15,Kotak Mahindra Bank,420530.56,14.04,14.62,6.84,1.5,2.27,2.13,15.5,56.7,5609537.17,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,7.32,6.62,6.37,6.69,0.62,0.58,0.62,28274.55,22567.24,14411.13,11553.29,12966.55,15900.68,29405.9,2.16,2.14,,,KOTAKBANK,500247,INE237A01036,1.3,1.51,1.68,1.39,-0.09,,,23.3,,0.2,7.3,14.04,14.01,13.34,12.5,11.84,12.89,7.32,6.69,2.51,2.37,2.4,2.21,2.08,1.93,-16.57,2.16,-29.37,20.7,110.38,,0.02,0.02,,792.11,25.87,-0.01,-0.02,-0.04,0,0,22.65,18.9,4.95,22.47,22.49,24.81,23.64,44.73,50.53,60.76,74.96,91.45,111.29,111.29,115.11,94.41,21.92,84.06,144.94,-16.57,-79.06,-77.97,62.54,47,,,6.57,,14.96,1.58,24.86,6.12,6782.03,7217.07,7472.93,7017.19,7374.57,7491.37,7234.25,16719.95,16428.03,13979.9,32848.26,25835.85,20085.87,42.69,40.8,43.49,4924.29,4468.27,4472.18,4932.76,4701.02,5044.05,7448.16,5337.2,4264.78,4904,22125.99,18213.21,14925.01,12089.39,9990.2,8593.36,3.3,28770.57,29356.06,6533.34,5962.77,6180.08,21945.74,23863.38,97130.29,-0.81,30.73,27.41,28.26,25.98,28.13,19.32,27.35,22094.19,22530.43,22125.99,43.49,40.8,42.69,-0.81,-29.37,27.41,42.71,-1.35,13917.77,13295.33,13582.73,13510.68,13350.82,26627.6,33789.17,54306.51,31.61,4.25,4.25,,,,6060,,1.41,2.67,3,267.96,35,34.67,40,45,45,48.67,47.97,53.9,45.09,53.76,14,12,0,7,12,14
16,ITC,405195.28,49.61,47.27,35.29,37.5,5.65,0.2,12.52,53.46,440714.62,1094942.25,51.72,27.62,1.64,7.98,27.24,25.08,20.3,36.41,35.66,33.47,34.76,0,0,0,45.06,45.96,43.2,39.36,44.58,54.68,57.25,632.67,630.6,443.21,,ITC,500875,INE154A01025,0,0,0,0,0,80942.76,74653.32,,19926.05,2.63,6.78,49.61,27.45,27.75,24.4,21.8,23.44,36.41,34.76,39.44,22.27,22.34,19.72,17.82,19.78,70.56,632.67,,44.63,27.92,443.21,0.2,0.19,3.06,55.96,0,0,0,0,0,0,16.39,27.96,4.09,4.19,15.77,3.95,3.99,12.45,10.7,12.37,15.46,16.42,27.79,27.75,29.24,18.05,61.94,109.26,108.59,70.56,2.51,-2.39,13.97,14.02,4.2,,6.81,6.81,6.76,1.71,22.99,5.16,6626.22,6210.23,6694.69,6816.47,6519.39,6361.9,6552.08,20658.41,17002.7,19260.16,25978.21,26254.35,25664.93,34.33,31.71,32.78,5126.11,5244.2,19727.37,4934.8,4992.87,5091.59,5120.55,5335.23,4898.07,5120.19,34746.63,20458.78,19191.66,15242.66,13161.19,15306.23,2.18,26136.94,26392.45,6912.32,7059.25,6732.04,26816.52,27112.27,,1.55,33.37,35.67,24.98,24.4,26.29,27.79,44.6,20445.44,20540.24,20139.81,32.78,31.71,34.33,1.55,,35.67,33.6,0.16,7367.17,7498.68,21812.26,7161.2,7238.24,28982.19,28507.9,43839.31,36.62,1.78,1.78,37.84,35.66,17.86,5884.18,6210.56,16.67,5.79,6,188.93,47.5,44.5,75,75,75,47.17,25.29,28.42,32.97,40.56,14,9,3,9,11,11
17,Sun Pharmaceutical,391547.48,15.13,17.77,23.04,11.97,7.18,2.43,39.2,52.58,2210280.25,2288312.27,52.39,39.19,2.43,7.04,17.43,22.6,11.73,19.83,17.7,16.92,17.26,0,0,0.03,231.36,238.47,172,127.35,141.43,302.73,275.31,74.5,60.29,51.39,28.35,SUNPHARMA,524715,INE044A01036,0,0,0,0,0,52041.25,52041.25,,10980.1,1.58,9.26,15.13,15.04,15.13,6.81,6.24,8.31,19.83,17.26,11.86,11.2,10.49,4.68,4.29,5.51,-5.47,74.5,,20.04,45.76,51.39,0.15,0.14,2.89,301,54.48,0,0,0,0.97,0,46.07,43.55,13,9.5,9,12.1,12.7,15.7,12.1,13.6,35.3,39.9,45.6,45.6,56.5,50.87,11.06,144.26,117.25,-5.47,2.36,36.84,23.13,26.01,12.66,16.26,7.92,7.92,7.74,2.89,27.82,7.12,3035.15,3476.83,4527.05,4301.66,3716.09,4009.02,3938.96,10397.72,8491.37,6989.76,15271.69,13023.13,11646.79,31.27,31.06,29.64,3117.95,2278.63,2149.88,2903.38,3040.16,2835.62,2654.58,2523.75,2375.51,3137.09,10929.04,9576.38,8473.58,3272.73,2903.82,3764.93,14.93,14058.56,16553.82,4167.61,3172.77,3597.88,13752.13,11087.89,,1.63,28,26.12,22.87,16.45,21.54,19.21,19.01,10389.46,11054.11,11433.74,29.64,31.06,31.27,1.63,,26.12,30.12,-6.85,4996.97,3948.12,3967.28,4158.47,4292.96,14377.32,17236.73,17070.84,31.6,16.4,16.4,32.78,27.88,23.62,3382.25,4185.28,13.57,5.42,9,563.77,31,30.67,65,65,65,30.67,45.19,50.78,44.82,48.73,13,7,2,3,15,8
18,Axis Bank,390655.26,14.98,14.62,6.84,1.5,2.27,2.13,15.5,56.7,5609537.17,10674203.52,50.11,21.15,2.32,6.51,17.36,17.95,4.49,7.34,6.45,6.22,6.93,1.18,1.45,1.18,71036.31,61390.74,43389.15,34922.66,34926.44,37995.94,72370.55,1.63,1.64,,,AXISBANK,532215,INE238A01034,1.46,1.44,1.73,1.57,-0.11,,,17.07,,0.13,6.09,14.98,16.8,8.33,11.93,6.94,2.14,7.34,6.93,1.69,1.73,0.8,1.18,0.71,0.19,-6.94,1.63,-0.34,17.99,90.76,,0.03,0,,604.5,8.15,-0.01,-0.08,-0.05,0,0,89.94,83.69,17.82,20.15,24.14,21.79,23.94,6.83,24.19,46.04,35.2,85.62,90.72,90.72,96.47,90.11,7.06,94.65,913.82,-6.94,-25.56,-11.56,49.56,9.52,18.86,,2.68,,13.03,1.18,8.8,3.02,11201.65,9736.76,11138.49,12213.89,11445.05,11246.74,11451.87,26367.3,26746.62,23995.97,44888.51,39356.07,21538.53,34.47,37.76,36.24,5527.85,6243.72,7475.13,6742.29,7401.26,6436.43,7599.04,6491.66,6204.15,5557.51,28055.11,26386.2,10818.45,14119.29,7195.5,1853.11,-2.74,43135.13,46044.17,7495.94,8179.7,9177.29,36722.16,35178,93336.28,-1.76,28.79,28.52,23.42,19.3,17.11,19.12,20.1,26731.28,27928.39,28179.02,36.24,37.76,34.47,-1.76,-0.34,28.52,35.62,-2.16,25467.41,26418.39,28015.48,27046.44,26792.21,40744.53,46655.48,106947.72,29.92,-4.94,-4.94,,,,10804.64,,1.32,2.09,6,1062.59,44.83,46,50,50,50,44.83,57.53,64.65,67.11,48.59,17,8,1,7,6,20
19,UltraTech Cement,364488.7,8.54,7.5,8.19,3.95,3.58,2.23,41.9,49.12,1017269.26,1996937.74,49.44,35.28,1.84,4.09,10.7,11.6,4.35,9.16,11.8,12.93,14.12,0.22,0.09,0.33,1650.54,968,822.72,944.71,1485.65,1991.65,1859.83,8.06,14.03,4.72,501,ULTRACEMCO,532538,INE481G01011,0,0,0,0,0,74936.45,74936.45,,6050.21,-8.89,20.27,8.54,11.63,9.32,14.56,12.36,14.74,9.16,14.12,4.51,6.94,5.54,8.76,6.33,7.26,22.56,8.06,,7.87,205.31,4.72,0.08,0.11,0.73,2399.42,59.29,0.06,-0.71,-0.67,0,0,212.04,259.86,58.66,41.87,75.67,84.38,50.99,199.49,189.33,254.53,175.54,242.87,205.3,205.13,341.56,350.8,-2.63,-1.87,16.33,22.56,15.04,40.1,348.06,293.62,124.52,,4.46,4.46,4.79,3.27,34.15,4.25,3039.28,4113.92,3915.24,3094.34,4410.34,4618.44,2887.09,11514.35,11567.91,9247.2,12557.45,12968.56,10619.85,17.94,15.78,16.79,1725.4,1231.58,2225.9,2474.79,1473.51,820.04,1696.59,2258.12,1776.98,1733.91,6039.11,7005,5063.96,7344.31,5463.1,5755.26,35.61,12058.56,16038.36,2287.49,1661.51,1832.77,7538.7,9400.21,,1.14,16.37,18.13,8.57,6.28,7.9,9.79,8.93,6551.73,6248.26,6464.93,16.79,15.78,17.94,1.14,,18.13,18.7,2.11,3961.59,3268.48,4552.19,4711.22,3131.38,13585.51,13301.62,16493.48,17.34,26.51,26.51,17.51,12.22,27.33,4724.61,4610.31,4.5,5.16,4,3780.54,33.67,33.5,65,50,50,32.33,52.55,59.05,53.44,43.32,20,10,1,6,12,11
20,Titan Company,357049.85,28.7,25.4,33.13,7.82,22.55,2.66,32.45,53.09,467891.08,819943.63,47.57,31.34,2.97,16.45,21.52,27.17,8.32,36.93,35.44,30.72,34.89,0.05,0.35,1.56,953,619,300,218,203,166.17,1031,6.48,9.41,4.5,220,TITAN,500114,INE280A01028,0,0,0,0,0,57143,57143,,3336,7.05,24.69,28.7,37.21,27.42,23.35,12.97,22.51,36.93,34.89,8.2,11.08,12.02,10.25,5.91,11.08,27.32,6.48,,5.48,37.48,4.5,-0.01,0.05,1.34,130.61,52.9,0,0,0,0,0,36.53,46.51,12.63,12.3,9.82,11.8,7.94,16.91,10.96,24.49,36.61,39.4,37.62,37.61,45.27,45.83,-1.23,55.14,117.88,27.32,59.07,2.68,29.18,20.78,16.88,,4.51,4.51,4.78,10.37,-659.98,5.26,1191,1565,1875,1830,1537,1674,1236,3341,1724,2466.58,5694,5292,4879,10.01,11.08,8.5,1120,1091,871,1047,704,715,771,1053,915,1119,3337,3496,3250,2173,973,1501.39,51.7,5239,6916,1521,1480,947,4534,4622,,1.51,9.34,10.25,4.84,6.6,5.98,6.77,6.08,3454,3243,3237,8.5,11.08,10.01,1.51,,10.25,10.18,3.17,1987,1935,1653,1802,1358,5825,6180,7377,10.14,46.32,46.32,10.22,9.07,46.79,2039.2,2257.35,10.01,30.72,4,387.99,24.67,25.33,60,60,60,24.33,59.01,66.31,67.19,65.82,19,6,1,10,11,12
21,NTPC,326486.75,12.72,16.69,13.07,6.02,2.93,2.79,21.54,52.84,1328401.82,2244223.46,45.39,21.1,3.32,4.64,14.66,12.29,5.71,9.4,9.67,9.08,9.93,1.09,1.18,1.34,13168.07,12048.21,11156.06,9315.98,9224.14,8116.85,13311.56,4.32,4.46,2.37,3500,NTPC,532555,INE733E01010,0,0,0,0,0,186144.66,186144.66,,21739.44,26.22,1.68,12.72,12.95,11.5,12.31,11.63,9.76,9.4,9.93,4.46,4.33,3.79,4,3.66,3.06,7.6,4.32,,12.27,22.42,2.37,0.1,0.08,1.07,189.83,51.1,0,0,0,0,0,22.76,24.49,5.23,6.2,7.85,5.22,5.44,11.72,14.87,17.2,17.87,21.46,20.34,20.34,40.36,37.02,9.03,31.67,82.77,7.6,-3.86,-15.65,30.66,22.08,5.39,,1.84,1.84,3.14,1.02,6.47,1.75,14195.24,11362.15,12815.75,12579.94,14754.05,13667.12,11655.23,40279.56,33973.83,31536.58,54127.57,51092.71,47728.91,28.62,26.73,26.08,5066.78,6010.6,7611.22,5062.51,5274.59,5474.14,6168.73,5155.28,4614.64,4645.2,23422.46,20811.89,16912.55,16675.9,14634.63,11600.23,9.96,51229.12,53816.86,6721.22,7288.49,6656.72,29984.62,26506.05,,2.54,28.36,28.2,11.8,12.77,11.31,11.49,12.72,21412.79,22072.74,21979.97,26.08,26.73,28.62,2.54,,28.2,28.82,1.81,14969.18,15343.01,18301.38,13869.16,14492.92,53757.69,56851.96,62482.73,29.79,3.29,3.29,30.21,20.96,10.38,9511.01,13777.18,1.38,1.77,8,330.37,52.33,54.33,80,80,80,52.5,46.83,52.62,52.72,40.05,17,3,2,5,12,11
22,Bajaj Finserv,311413.79,12.25,10.84,22.57,2.71,2.96,1.86,25.92,41.46,632067.91,689924.11,42.29,26.26,1.74,2.94,10.7,21.54,2.71,35.45,21.03,17.64,13.93,0,2.92,4.89,24309.7,18399.51,12201.42,9498.26,9141.28,9338.53,26380.49,2.02,2.21,1.72,,BAJAJFINSV,532978,INE918I01026,0,0,0,0,0,133821.05,133821.05,,17539.65,1.07,12.05,12.25,13.5,13.82,11.32,12.47,10.76,35.45,13.93,1.36,1.51,1.58,1.36,1.59,1.34,13.88,2.02,,6.63,109.9,1.72,-0.1,-0.13,1.24,453.6,58.81,0,-1.83,-1.88,0,0,53.2,60.59,14.1,17.5,15.1,14,13.1,211.7,280.9,286.3,40,51.2,55.6,55,117.23,103.43,13.35,-78.98,-71.07,13.88,7.63,-19.43,557.79,405.29,14.42,,2.39,2.39,5.34,2.41,-5.01,2.2,10932.54,10437.82,14050.45,14315.19,12727.5,12373.18,12283.47,21299.03,19501.89,18091.54,49209.17,40665.49,29688.39,37.57,40.39,36.45,2244.1,2789.05,2416.64,2231,2086.97,2137.7,2118.53,2157.67,1928.96,4743.27,8872.31,8147.79,6417.28,4556.77,4470.46,3369.13,14.39,45478.64,53466.32,6821.93,7203.02,5962.52,23730.22,21366.94,,1.12,36.77,36.84,6.19,7.87,6,7.38,6.84,8342.86,8500.87,8574.2,36.45,40.39,37.57,1.12,,36.84,37.79,2.32,14050.45,14327.45,12728.57,12373.18,12283.47,40666.58,49210.24,53479.65,36.77,14.39,14.39,36.77,35.89,14.53,12765.55,8798.1,1.06,4.3,3,808.02,32.33,32.67,40,40,40,32.5,41.98,47.17,42.02,46.71,10,13,0,7,10,13
23,ONGC,308808.11,10.54,11.06,11.3,5.11,0.98,1.77,9.17,52.95,388517.05,2879583.9,53.05,18.09,0.92,1.9,9.52,10.09,4.15,11.15,12.94,11.98,15.43,0.29,0.23,0.45,14534.95,10194.17,7889.36,5696.04,5079.03,7489.34,13922.45,6.97,11.63,3.58,1145,ONGC,500312,INE213A01029,0,0,0,0,0,660147.83,608950.9,,37293.02,-19.49,0.1,10.54,14.6,12.62,17.54,7.35,5.26,11.15,15.43,4.77,6.93,5.76,7.77,2.99,2.11,-10.18,6.97,,5.8,29.64,3.58,0.12,0.14,0.81,273,58.89,0,0,0,0,0,32.33,29.04,8.58,7.79,5.82,6.85,8.17,8.59,12.92,36.19,28.17,39.13,28.8,28.8,57.63,69.1,-16.6,-4,95.11,-10.18,5.02,10.14,60.03,29.54,5.75,,0.51,0.51,0.76,0.56,3.4,0.47,23225.21,20024.03,26521.19,25907.17,22084.58,24642.74,20506.84,80682.04,49466,52104.98,88860.71,106299.11,79273.12,16.8,15.88,12.95,10784.88,9804.07,7322.82,8621.69,10272.5,9936.45,10107.36,10356.44,13734.11,12274.96,36225.62,49221.38,35440.48,45522.11,16248.69,10803.6,29.33,85550.35,99155.68,16944.57,15736.47,12712.26,51362.29,74464.04,,3.84,14.23,17.61,6.49,6.01,6.83,8.15,5.55,44134.36,40672.75,38938,12.95,15.88,16.8,3.84,,17.61,15.07,-0.83,29629.02,28461.84,24910.38,27053.83,24670.26,118521.04,101254.29,110055.07,16.21,20.1,20.1,16.54,10.79,4.61,8643.5,16836.32,1.78,0.9,5,437.06,59,60,50,50,50,59.17,54.62,61.38,52.45,41.33,13,3,1,2,13,10
