"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"1","Piccadily Agro","8","0","16","1","3","55","27.33","9.4","51.46","40.94","29.49","23.16","189.52","233.52","","7.33","7.93","2.71","1.75","1.46","1.52","","435.11","249.99","78.45","23.76","13.86","-10.1","45.32","1.88","-39.3","6.51","6.16","83.65","76.28","25.39","13.46","","0","0","68.62","1.85","","6.81","","0.45","20.09","24.97","13.78","15.04","27.07","9.31","","530305","INE546C01010"
"2","Keystone Realtors","18","1","12","5","4","50","28.67","1.74","43.22","48.08","20.41","16.59","332.63","237","","2.11","3.69","4.37","-1.75","4.84","5.39","","682.45","23.16","-41.08","6.63","5.65","28.06","70.67","35.84","75.05","3.35","3.24","-87.31","-40.87","-32.72","8.15","","-3.66","0","74.59","1.69","","6.46","","0.33","9.65","10.88","11.57","6.2","11.26","11.96","RUSTOMJEE","543669","INE263M01029"
"3","Prism Johnson","9","2","8","1","6","65","58","1.92","50.4","50.95","14.17","7.47","546.53","860.26","","4.09","4.14","3.63","0.13","1.42","1.37","","4744.24","-12.9","10.63","7.68","2.36","86.08","78.14","42.98","3.86","0.93","0.77","103.37","220","252.49","3.63","","0","0","74.87","0.75","","2.45","","0.75","1.58","11.57","8.19","5.4","10.66","7.47","PRSMJOHNSN","500338","INE010A01011"
"4","FDC","11","2","9","0","6","60","38.67","9.82","52.19","52.37","15.32","19.7","415.46","365.83","","2.46","7.07","7.21","-0.92","2.45","2.45","","11.22","23.28","-76.62","13.23","10.85","12.84","36.79","12.65","37.81","3.05","2.88","-60.5","-76.51","-28.79","13.85","","0","0","69.66","3.01","","92.13","","0","15.37","22.64","23.07","11.69","17.45","17.79","FDC","531599","INE258B01022"
"5","Garware Technical Fibres","15","2","12","0","5","55","33.33","8.8","47.61","48.96","24.05","23.16","356.83","319.48","","4.62","16.3","3.57","-3.08","3.03","4.28","","64.77","40.52","-39.75","18.65","13.61","4.96","-13.36","-26.38","-44.53","5.57","4","-90.27","-39.81","-9.56","20.54","","0.36","0","53.36","1.88","","17.81","","0.05","25.16","27.03","14.98","18.64","21.4","12.07","GARFIBRES","509557","INE276A01018"
"6","Max Estates","14","1","9","6","6","65","43.5","1.18","43.22","48.08","53.77","83.23","133.58","168.52","","2.61","3.69","4.37","0.02","4.84","5.39","","","","-36.54","24.79","30.99","28.06","70.67","35.84","75.05","39.06","33.36","644.44","-33.78","6561.56","3.41","","-0.33","0","44.91","2","","2.16","","0.71","1.93","10.88","11.57","1.79","11.26","11.96","MAXESTATES","544008","INE03EI01018"
"7","Redtape","15","2","10","6","4","55","30.33","4.38","42.15","45.12","22.92","18.17","367.29","397.52","","7.08","16.91","10.7","2.28","7.44","2.51","","","485.4","-28.65","16.92","8.5","-126.54","-443.74","-35.51","-0.69","3.99","2.85","-72.38","-28.57","14.72","3.27","","-0.01","0","71.79","1.33","","7.21","","0.46","25.06","13.41","18.43","21.55","12.2","17.98","REDTAPE","543957","INE0LXT01019"
"8","Inox Green Energy","11","1","13","5","5","60","28.83","7.66","45.6","37.69","42.38","45.24","106.58","157.29","","3.24","4.75","6.65","1.03","2.66","5.71","","137.72","121.25","26.59","11.48","21.95","-5.25","3.78","-22.84","-7.55","18.58","22.34","335.29","27.59","99.1","1.59","","-1.15","0","54.82","3.37","","5.72","","0.09","2.43","12.33","10.82","1","14.71","11.8","INOXGREEN","543667","INE510W01014"
"9","Ganesh Housing","10","0","13","1","5","70","42.67","9.58","43.22","48.08","10.67","84.7","813","718.46","","2.75","3.69","4.37","1.36","4.84","5.39","","599.94","747.67","16.14","84.41","63.22","28.06","70.67","35.84","75.05","9.17","7.3","-31.83","16.13","8.49","63.19","","0","0","73.06","6.02","","212.07","","0.01","38.68","10.88","11.57","32.57","11.26","11.96","GANESHHOU","526367","INE460C01014"
"10","Ashapura Minechem","10","1","16","2","5","75","49.17","3.08","60.22","46.94","10.01","16.24","444.88","608.73","","4.3","6.45","4.08","0.21","5.83","0.88","","-23.7","241.91","-12.06","14.25","10.68","-12.63","18.76","-37.25","-1.68","1.25","1.64","114.65","-12.09","74.14","41.7","","0.09","0","47.88","1.23","","5","","0.93","16.5","23.41","24.12","23.81","24.83","28.69","ASHAPURMIN","527001","INE348A01023"
"11","Fujiyama Power Systems","9","0","9","1","6","","1.5","","46.64","48.58","","16.74","257.94","","","11.52","8.99","7.39","","3.93","2.93","","1359.78","","-6.93","","","25.77","16.72","15.39","49.14","","","","-6.75","","","","","0","86.77","1.26","","9.62","","0.87","42.68","24.97","24.76","39.39","20.74","21.91","UTLSOLAR","544613","INE12UR01024"
"12","EPL","10","1","25","1","7","75","57.67","4.37","44.28","49.91","7.89","20.87","879.5","947.4","138.7","2.33","6.02","2.47","0.25","8.93","3.2","","73.22","67.44","4.3","20.48","9.3","53.7","37.53","-1.28","226.73","1.53","1.38","19.41","4.15","58.74","12.87","","-0.02","0","26.38","1.51","","7.72","15","0.29","18.8","13.06","14.45","15.24","14.69","11.49","EPL","500135","INE255A01020"
"13","India Metals & Ferro Alloys","6","1","16","3","6","60","43.83","6.36","60.22","59.53","6.12","23.27","596.98","534.54","","2.44","6.45","2.99","-0.78","5.83","2.57","","669.59","-25.34","5.62","17.99","12.85","-12.63","18.76","-11.38","-13.53","1.28","2.38","-22.01","5.67","-23.7","61.24","","0","0","58.69","2.69","","21.12","","0.16","22.05","23.41","10.65","16.12","24.83","6.51","IMFA","533047","INE919H01018"
