"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"1","Ador Welding","5","1","14","5","6","90","42.83","8.39","51.2","51.79","11.52","10.75","120.73","115.69","","3.51","12.04","11.51","","3.49","2.18","","108.72","32.97","6.84","8.55","5.82","23.52","10.25","37.69","-7.79","1.3","1.53","73.25","6.82","","37.85","","0.01","0","53.73","2.56","","26.59","","0","19.69","24.14","41.01","11.84","20.49","30.72","ADOR","517041","INE045A01017"
"2","Panama Petrochem","9","0","16","3","6","65","53.33","7.22","53.25","52.95","8.2","9.27","258.91","260.58","","1.29","1.9","2.07","-2.2","0.91","0.97","","549.92","-18.8","24.33","8.51","6.52","5.89","-31.07","9.04","-24.32","0.82","0.6","20.16","24.43","-4.18","31.14","","0.16","0","63.16","5.18","","14.26","","0","18.99","10.1","9.37","14.9","9.53","8.92","PANAMAPET","524820","INE305C01029"
"3","Fino Payments Bank","15","2","7","3","3","","34.5","0.76","50.26","50.69","","","170.5","211.63","29.4","2.52","6.46","3.15","-1.53","2.32","1.48","-798.72","388.84","116.5","-13.57","46.59","35.94","2.56","11.8","403.95","-82.55","9.72","7.79","-27.56","-13.62","-14.14","9.64","","0","0","75","","","2.08","","1.12","5.93","17.81","14.03","12.38","17.34","10.44","FINOPB","543386","INE02NC01014"
"4","Pix Transmissions","9","1","13","1","7","80","40","10.03","48.77","54.06","12.17","30.48","179.69","156.23","","2.73","7.12","3.21","-1.14","2.94","1.57","","273.33","63.96","-15.49","22.79","17.14","235.34","0.52","22.05","-16.68","3.77","3.1","-41.92","-15.5","-15.85","70.68","","0.24","0","62.06","6.6","","49.84","","0.06","23.58","20.66","15.11","18.93","18.57","11.24","PIXTRANS","500333","INE751B01018"
"5","String Metaverse","6","0","28","0","8","85","48.83","452.38","53.73","38.66","23.98","10.33","42.1","95.62","","6.85","9.84","9.55","0.08","9.9","2.02","","9866.46","","29.41","10.88","9.26","-9.63","7.88","-26.1","162.85","2.5","2.02","153.19","29.35","271.55","6.87","","0","0","81.79","14.07","","2105.03","","0","21.86","37.81","11.11","21.77","30.66","8.96","","534535","INE958L01026"
"6","Brightcom Group","14","1","12","1","5","","","2.84","53.73","38.66","0.7","25.67","1321.59","1484.89","","0.18","9.84","9.55","0.02","9.9","2.02","","61.33","-22.16","10.51","25.78","14.03","-9.63","7.88","-26.1","162.85","0.4","0.3","25","10.58","125.07","4","","0","1.08","18.38","7","","65102.99","","0","11.65","37.81","11.11","8.17","30.66","8.96","BCG","532368","INE425B01027"
"7","Tasty Bite Eatables","12","1","7","0","8","85","37.33","9.53","52.35","50.38","30.1","12.69","70.37","77.64","","5.47","21.92","39.82","0.54","8.37","5.83","","-37.33","147.95","-55.79","10.23","5.48","3.45","15.9","1.14","1.4","3.8","3.08","-64.07","-55.78","104.51","120.94","","0","0","74.23","2.68","","11.38","","0.09","10.76","36.8","49.13","8.22","36.3","56.97","TASTYBITE","519091","INE488B01017"
"8","Wheels","9","2","19","2","7","75","63","2.4","48.77","50.85","6.01","7.52","357.15","385.16","","2.01","7.12","5.9","0.48","2.94","4.12","","126.05","45.02","3.71","7.6","2.52","235.34","0.52","14.61","2.2","0.3","0.35","26.8","3.68","29","50.81","","0","0","58.31","0.93","","2.94","","0.79","20.17","20.66","18.62","12.02","18.57","14.6","WHEELS","590073","INE715A01015"
"9","Bajel Projects","17","1","8","5","6","35","42.33","2.29","51.2","49.49","19.33","3.47","90.17","104.17","","2.48","12.04","9.55","-6.49","3.49","3.57","","","","21.82","2.83","0.49","23.52","10.25","45.5","4.63","0.73","0.66","-2.02","19.23","-21.01","1.11","","-0.02","2.55","62.53","1.13","","1.68","","0.18","11.05","24.14","21.54","2.32","20.49","18.92","BAJEL","544042","INE0KQN01018"
"10","Dollar Industries","9","3","15","5","6","70","49","3.96","47.61","32.04","13.53","10.99","188.02","207.45","","1.95","16.3","12.45","1.17","3.03","3.65","","58.75","-38.11","64.95","11.18","5.87","4.96","-13.36","5.41","23.18","1.29","0.97","32.76","64.89","14.14","18.64","","0","0","72.21","2.09","","6.68","","0.39","16.5","27.03","22.5","10.63","21.4","20.12","DOLLAR","541403","INE325C01035"
"11","ideaForge Technology","20","1","5","3","1","20","6.83","17.26","51.2","53.63","-44.25","-19.55","-31.53","-64.46","","3.1","12.04","10.78","0.06","3.49","2.4","","","-241.52","-72.55","-74.7","-97.48","23.52","10.25","36.58","18.77","9.25","16.73","-39.39","-72.61","-291.54","-23.74","","0","0.01","33.36","8.63","","-20.61","","0","-9.76","24.14","25.11","-10.23","20.49","23.88","IDEAFORGE","543932","INE349Y01013"
"12","Bliss GVS Pharma","4","0","17","4","5","65","53.33","6.14","52.19","52.37","6.97","20.15","163.18","206.93","","1.56","7.07","7.21","0.22","2.45","2.45","","-13.33","460.49","-36.68","14.41","12.74","12.84","36.79","12.65","37.81","1.53","2.06","11.69","-36.76","72.86","10.36","","-0.03","0","35.36","4.81","","20.1","","0.07","11.84","22.64","23.07","8.02","17.45","17.79","BLISSGVS","506197","INE416D01022"
"13","India Pesticides","4","1","22","5","6","80","46.67","6.37","51.56","52.2","11.14","16.21","134.4","171.98","","1.85","6.31","3.66","0.13","19.34","4.4","","","-47.97","90.52","16.12","14.74","0.3","28.87","26.21","98.53","1.87","1.88","22.03","-9.39","97.7","12.09","","0","0","63.65","3.33","","27.77","","0.06","12.56","16.66","16.45","9.14","12.97","11.75","IPL","543311","INE0D6701023"
"14","Indosolar","8","0","26","1","6","80","57.83","12","46.64","48.58","0.45","29.6","95.88","257.56","","8.74","8.99","7.39","0","3.93","2.93","","756.74","144.79","-10.5","32.39","31.02","25.77","16.72","15.39","49.14","0.04","2.25","305.28","-10.5","2365.73","58.8","","0","0","74.93","0.81","","6.96","","1.16","70.91","24.97","24.76","135.54","20.74","21.91","WAAREEINDO","533257","INE866K01023"
"15","Shalby","13","1","5","3","3","50","34.17","2.61","44.15","42.95","15.76","14.73","160.2","160.12","","1.77","8.43","8.55","-4.33","4.59","5.51","","-77.45","-88.5","-6.03","12.29","0.4","16.82","90.18","23.21","111.56","1.96","1.59","209.09","-4.23","-91.68","0.41","","0","0","74.33","1.44","","4.14","","0.43","7.56","15.63","13.9","0.62","22.02","23.28","SHALBY","540797","INE597J01018"
"16","Mold-Tek Packaging","18","2","7","2","5","45","42.5","5.27","44.28","49.91","10.93","18.41","143.86","160.76","","2.66","6.02","2.47","3.31","8.93","3.2","","58.56","-4.87","-30.86","18.73","8.04","53.7","37.53","-1.28","226.73","1.79","2.11","9.65","-30.86","7.94","20.4","","-0.01","2.28","33.07","1.6","","10.35","","0.28","12.72","13.06","14.45","9.49","14.69","11.49","MOLDTKPAC","533080","INE893J01029"
"17","A-1 Acid","12","0","19","2","6","60","19.17","49.9","44.28","44.26","52.98","3.17","10.53","10.53","","36.66","6.02","6.35","-77.56","8.93","0.87","","","-42.1","-88.36","2.71","0.8","53.7","37.53","141.6","82.74","1.62","5.68","-92.86","-88.46","-9.16","0.05","","0","0","70.03","2.49","","6.36","","0.43","13.62","13.06","10.77","7.34","14.69","14.93","","542012","INE911Z01025"
