"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"1","Indiabulls","16","1","11","1","1","","15.33","18.85","44.28","48.26","-50.48","0","-7.7","119.44","","0.92","6.02","5.08","0.24","8.93","0.7","","76.92","61.25","126.89","41.94","-25.08","53.7","37.53","27.89","17.15","0","10.96","227.04","373.62","-178.83","-0.25","","5.43","0","32.89","0.08","","-0.13","","-0.95","3.09","13.06","19.86","0","14.69","15.67","IBULLSLTD","533520","INE126M01010"
"2","Network People ","19","1","12","1","3","40","22.83","40.33","44.28","48.26","67.24","39.01","67.58","67.58","","21.9","6.02","5.08","-5.62","8.93","0.7","","4303.25","2921.24","36.87","30.05","22.03","53.7","37.53","27.89","17.15","26.76","20.25","-46.58","34.77","-10.19","21.69","","-0.02","0","60.27","3.56","","196.96","","0.03","55.33","13.06","19.86","43.58","14.69","15.67","NPST","544396","INE0FFK01017"
"3","Sirca Paints","11","0","11","5","5","50","31","17.88","46.64","49.72","17.5","19.41","72.6","88.52","","5.9","8.99","11.26","1.85","3.93","1.73","","95","76.95","27.42","19.38","13.3","25.77","16.72","89.36","-21.91","3.54","6.01","33.88","25.1","24.42","10.19","","0","0","65.19","4.78","","417.03","","0","16.73","24.97","24.5","14.03","20.74","19.27","SIRCA","543686","INE792Z01011"
"4","Tatva Chintan Pharma","18","2","16","3","6","70","33","17.29","51.56","52.48","44.09","9.54","36.53","78.6","12.8","3.47","6.31","7.89","0.62","19.34","2.44","","-84.88","-94.04","52.92","15.43","6.83","0.3","28.87","-6.07","12.09","4.15","5.46","10716.67","53.07","129.16","14.01","","0","0","72.02","2.76","","28.32","","0.05","1.19","16.66","18.23","0.77","12.97","14.15","TATVA","543321","INE0GK401011"
"5","Bhagiradha Chemicals","20","0","8","1","1","45","24.83","7.21","51.56","52.2","79.16","10.49","46.23","44.15","","3.81","6.31","3.66","-4.92","19.34","4.4","","112.96","-61.24","38.33","8.03","2.49","0.3","28.87","26.21","98.53","8.18","5.37","-2.33","35.48","-43.76","0.94","","0","0","19.6","1.92","","6.5","","0.12","4.38","16.66","16.45","2.03","12.97","11.75","BHAGCHEM","531719","INE414D01027"
"6","Lux Industries","15","1","8","1","5","60","37.5","3.98","47.61","32.04","17.08","10.28","265.59","225.73","","1.49","16.3","12.45","-1","3.03","3.65","","-6.95","-51.33","-0.51","7.47","4.62","4.96","-13.36","5.41","23.18","1.66","0.96","-54.17","-0.51","-20.97","42.29","","0","0","74.19","2.69","","12.73","","0.16","13.73","27.03","22.5","9.55","21.4","20.12","LUXIND","539542","INE150G01020"
"7","SMS Pharmaceuticals","6","1","22","5","7","80","40","4.67","52.19","52.37","14.82","18.55","145.22","167.33","","3.64","7.07","7.21","0.75","2.45","2.45","","118.97","11.11","23.53","18.81","9.81","12.84","36.79","12.65","37.81","2.41","3.09","70.06","22.94","42.17","9.52","","0","17.99","68.07","1.72","","7.83","","0.49","13.38","22.64","23.07","10.8","17.45","17.79","SMSPHARMA","532815","INE812G01025"
"8","Ram Ratna Wires","9","0","16","1","4","45","45.17","5.7","46.64","48.58","15.34","4.73","174.1","201.31","","5.25","8.99","7.39","2.49","3.93","2.93","","385.61","34.42","37.78","4.58","1.73","25.77","16.72","15.39","49.14","0.65","0.67","19.63","38.07","15.48","7.39","","-0.3","0","68.54","1.19","","3.24","","0.61","21.63","24.97","24.76","14.55","20.74","21.91","RAMRAT","522281","INE207E01023"
"9","Dredging Corporation","9","0","8","6","4","45","22.17","1.86","52.91","52.89","16.48","12.74","145.54","218.26","","2.3","8.89","9.7","-1.98","1.69","0.27","","-598.02","-902.9","-46.48","16.18","-1.62","0.75","7.1","-24.36","17.54","1.33","2.15","-2.01","-46.58","67.21","-7.16","","0","0","73.47","0.98","","3.82","","0.76","-0.31","14.28","18.26","-2.24","30.44","17.65","DREDGECORP","523618","INE506A01018"
"10","Camlin Fine Sciences","16","1","7","3","5","50","17","2.72","51.56","52.48","16.27","13.35","222.57","141.12","","3","6.31","7.89","-1.05","19.34","2.44","","-558.62","-329.15","-44.41","9.16","-1.66","0.3","28.87","-6.07","12.09","1.89","1.52","87.12","-48.08","86.91","-1.52","","-1.05","10.84","48.03","1.4","","2.23","","0.72","13.47","16.66","18.23","-15.47","12.97","14.15","CAMLINFINE","532834","INE052I01032"
