"Sl No","Stock","SWOT Weakness","SWOT Threats","SWOT Strengths","SWOT Opportunities","Piotroski Score","Durability Score","Valuation Score","Altman Zscore","Sector Score","Industry Score","EV Per EBITDA Ann ","EBITDA Ann  Margin %","EBITDA Ann ","EBITDA TTM","FC Est  1Q forward EBIT Qtr","PBV Adjusted","Sector PBV TTM","Industry PBV TTM","PEG TTM","Sector PEG TTM","Industry PEG TTM","OPM Ann  %","Net Profit 5Y Growth %","Net Profit 3Y Growth %","Net Profit QoQ Growth %","OPM TTM %","NPM TTM %","Sector Net Profit Growth Qtr QoQ %","Sector Net Profit Growth Ann  YoY %","Industry Net Profit Growth Qtr QoQ %","Industry Net Profit Growth Ann  YoY %","Price To Sales Ann ","Price to Sales TTM","EPS Qtr YoY Growth %","Basic EPS QoQ Growth %","EPS TTM Growth %","Basic EPS TTM","FC Est  1Q fwd Cash EPS Qtr","Promoter holding change QoQ %","Promoter holding pledge percentage % Qtr","Promoter holding latest %","Current Ratio Ann ","Current Ratio TTM","Interest Coverage Ratio Ann ","FC Est  1Q fwd Interest Expense Qtr","Total Debt to Total Equity Ann ","ROCE Ann  %","Sector ROCE","Industry ROCE","ROE Ann  %","Sector ROE","Industry ROE","NSE Code","BSE Code","ISIN"
"1","Five-Star Business Finance","17","0","14","6","4","35","35.67","2.45","50.26","38.95","12.71","74.75","2128.95","2221.67","431.4","2.22","6.46","4.06","1","2.32","1.41","","309.42","136.47","7.44","71.73","36.06","2.56","11.8","-1.86","1.44","7.47","4.93","6.11","7.52","13.69","37.53","","-0.01","0","18.56","1.76","","3.19","","1.26","32.95","17.81","34.62","17.01","17.34","14.63","FIVESTAR","543663","INE128S01021"
"2","NAVA","9","1","11","0","6","65","44.83","3.82","45.6","53.1","8.21","49.87","1986.78","1869.42","","1.87","4.75","2.96","-0.86","2.66","1.66","","176.01","110.83","-57.96","43.19","22.96","-5.25","3.78","-0.68","2.34","3.68","3.77","-73.58","-58.03","-19.18","32.59","","-0.03","0","50.1","5.98","","76.77","","0.12","15.41","12.33","13.1","14.34","14.71","16.72","NAVA","513023","INE725A01030"
"3","Schneider Electric","9","2","17","0","7","85","30.17","9.63","51.2","49.49","39.71","15.44","407.34","419.42","186.08","23","12.04","9.55","1.87","3.49","3.57","","1005.8","869.84","26.87","13.99","9.53","23.52","10.25","45.5","4.63","6.07","5.57","-3.52","27.33","31.32","10.82","","0","0","75","1.7","","8.27","","0.51","33.9","24.14","21.54","56.11","20.49","18.92","SCHNEIDER","534139","INE839M01018"
"4","IFCI","8","1","23","4","5","60","35.17","1.47","50.26","48","11.82","73.04","1370.36","1487.42","","1.71","6.46","1.87","0.33","2.32","1.3","","174.22","109.34","257.8","71.14","18.88","2.56","11.8","-6.51","14.03","6.19","7.53","65.62","253.33","121.86","1.41","","0","0","72.57","2.49","","2.56","","0.43","7.95","17.81","56.21","1.96","17.34","16.03","IFCI","500106","INE039A01010"
"5","Amara Raja Energy","9","2","16","4","5","55","47.83","5.49","48.77","50.85","10.58","13.48","1732.06","1824.41","286.3","1.96","7.12","5.9","-2.4","2.94","4.12","","42.96","84.3","67.77","11.25","6.83","235.34","0.52","14.61","2.2","1.43","1.15","17.4","67.89","-7.02","49.24","","0","0","32.86","1.84","","39.1","7.4","0.02","15.35","20.66","18.62","12.78","18.57","14.6","ARE&M","500008","INE885A01032"
"6","TBO Tek","14","1","14","10","6","60","26.33","2.52","31.95","49.49","35.42","19.39","337.02","363.49","85.78","11.02","12.4","9.82","6.65","4.43","4.84","","","581.83","7.27","14.49","12.3","32.26","20.34","-1.83","20.92","7.53","7.85","10.68","7.12","9.6","22.05","","0","0","44.41","1.2","","14.48","11.2","0.11","20.69","22.25","31.43","19.23","22.85","26.89","TBOTEK","544174","INE673O01025"
"7","Zensar Technologies","11","1","13","4","6","65","40.83","10.81","53.73","55.3","15.53","18.49","976.9","1082.5","211.25","3.59","9.84","10","1.43","9.9","10.56","","146.68","56.09","9.66","15.96","13.23","-9.63","7.88","-9.36","6.66","3.01","2.74","25","9.73","14.49","32.56","","-0.01","0","49.01","3.76","","56.47","2.45","0","20.39","37.81","39.64","15.96","30.66","32.17","ZENSARTECH","504067","INE520A01027"
"8","Poly Medicure","14","0","8","2","4","60","29.5","23.45","44.15","46.59","41.97","32.45","541.97","576.57","107","5.26","8.43","5.09","1.86","4.59","1.34","","253.11","131.09","-1.34","26.56","21.14","16.82","90.18","4.32","52.55","13.61","8.97","0.55","-1.41","22.76","35.71","","0","0","62.42","5.18","","45.18","4.1","0.06","16.27","15.63","13.9","12.24","22.02","11.06","POLYMED","531768","INE205C01021"
"9","BASF","17","2","7","1","4","45","37.17","4.36","51.56","52.48","22.63","5.32","812.89","698.98","","4.06","6.31","7.89","-0.97","19.34","2.44","","","","-22.02","4.01","2.51","0.3","28.87","-6.07","12.09","1.26","1.03","-16.22","-21.77","-42.29","86.66","","0","0","73.33","1.56","","51.35","","0.01","16.49","16.66","18.23","13.18","12.97","14.15","BASF","500042","INE373A01013"
"10","JSW Cement","24","1","5","4","1","25","21.17","1.23","50.4","50.95","","14.02","815.32","-391.94","","2.53","4.14","3.63","","1.42","1.37","","-169.27","-146.71","106.37","15.95","-21.25","86.08","78.14","42.98","3.86","","2.51","209.23","105.16","","-9.57","","0","0","72.33","0.65","","1.81","","2.62","6.08","11.57","8.19","-4.84","10.66","7.47","JSWCEMENT","544480","INE718I01012"
"11","Lakshmi Machine ","16","0","14","1","5","55","24.17","9.11","51.2","50.35","59.57","8.76","263.89","293.42","","5.49","12.04","15.47","-3.22","3.49","2.93","","269.44","-43.33","256.76","4.91","3.87","23.52","10.25","13.68","2.08","5.67","5.03","67.25","256.61","-40.31","111.87","","0","0","30.8","2.62","","0","","0","5.03","24.14","28.12","3.69","20.49","22.83","LMW","500252","INE269B01029"
"12","CIE Automotive","2","4","14","1","5","65","42.5","4.58","48.77","50.85","12.1","16.62","1490.22","1445.79","276.3","2.36","7.12","5.9","-59.5","2.94","4.12","","677.74","110.62","5.11","14.55","8.87","235.34","0.52","14.61","2.2","1.99","1.7","9.73","5.22","-0.32","21.32","","0","0","65.7","1.58","","19.2","7.8","0.08","15.28","20.66","18.62","12.58","18.57","14.6","CIEINDIA","532756","INE536H01010"
"13","Carborundum Universal","12","0","13","5","5","55","30.17","10.36","51.2","44.67","25.61","15.38","752.78","555.07","114.85","4.18","12.04","32.09","-1.35","3.49","7.87","","7.46","-12.18","20.39","12.04","4.01","23.52","10.25","-0.96","-1.33","3.96","3.13","-35.3","20.12","-57.82","10.52","","-0.06","0","38.9","3.35","","53.88","","0.03","13.77","24.14","30.51","8.29","20.49","14.63","CARBORUNIV","513375","INE120A01034"
"14","Vinati Organics","12","2","12","5","8","75","32.67","21.15","51.56","52.48","26.3","27.81","625.23","686.03","137.7","5.34","6.31","7.89","2.01","19.34","2.44","","21.4","16.92","10.26","28.72","19.26","0.3","28.87","-6.07","12.09","7.29","6.93","10.14","10.25","17.91","42.04","","0","1.07","74.28","3.31","","1202.37","","0.02","18.09","16.66","18.23","14.5","12.97","14.15","VINATIORGA","524200","INE410B01037"
"15","EID Parry","11","1","18","5","5","60","62.83","2.89","51.46","51.16","5.71","9.63","3046.37","4052.56","","1.82","7.93","14.28","0.24","1.46","2.6","","87.73","-3.14","72.33","9.02","3.21","-10.1","45.32","-17.43","20.08","0.44","0.44","38.62","72.35","56.64","64.77","","-0.05","0","41.44","1.57","","8.18","","0.27","18.11","24.97","21.08","11.06","27.07","15.52","EIDPARRY","500125","INE126A01031"
"16","Great Eastern ","7","1","18","7","6","70","49.33","4.34","52.91","52.89","2.77","65.97","3511.35","3172.98","","1.05","8.89","9.7","-0.28","1.69","0.27","","1031.73","272.29","15.24","50.65","41.66","0.75","7.1","-24.36","17.54","2.5","3.25","0.99","15.22","-27.84","143.08","","0","0","30.07","6.46","","14.85","","0.15","16.6","14.28","18.26","16.44","30.44","17.65","GESHIP","500620","INE017A01032"
"17","Kirloskar Oil Engines","9","0","19","6","2","30","29.5","2.55","51.2","50.35","12.27","19.49","1237.52","1374.92","","4.73","12.04","15.47","-8.94","3.49","2.93","","164.15","180.28","14.51","18.45","7.32","23.52","10.25","13.68","2.08","1.65","2.31","27.19","14.43","-3.52","34.86","","-0.04","0","41.08","1.27","","2.56","1.5","1.87","15.61","24.14","28.12","15.84","20.49","22.83","KIRLOSENG","533293","INE146L01010"
"18","Bikaji Foods ","8","1","10","6","4","55","25.33","20.27","52.35","50.38","45.97","13.77","361.14","436.41","","10.83","21.92","39.82","-6.87","8.37","5.83","","256.3","157.65","-22.06","13.76","8.54","3.45","15.9","1.14","1.4","6.32","5.62","117.54","-22.01","-9.58","9.83","","0","0","73.92","2.6","","23.85","","0.11","16.94","36.8","49.13","14.52","36.3","56.97","BIKAJI","543653","INE00E101023"
"19","Aditya Infotech","10","1","15","3","4","50","23.83","6.07","35.27","36.45","","8.3","258.39","347.27","","10.23","8.23","9.59","","2.67","4.12","","","262.49","112.83","9.71","5.71","58.17","106.28","55.2","94.42","","4.68","-72.49","108.7","","16.84","","-0.21","0","76.91","1.13","","6.18","","0.41","21.01","23.39","21.55","34.52","29.08","31.26","CPPLUS","544466","INE819V01029"
"20","Century Plyboards","17","3","11","4","3","45","26.17","5.97","44.07","44.08","34.66","10.97","496.83","574.99","111.2","6.62","5.14","5.37","10.42","8.41","8.71","","23.07","-40.8","32.86","11.58","4.73","65.35","-38.71","98.49","-30.98","3.49","3.34","72.22","33.05","6.76","10.43","","0","0","72.64","1.07","","7.2","26.3","0.62","12.12","13.02","13.34","7.83","9.22","9.25","CENTURYPLY","532548","INE348B01021"
"21","Capri Global Capital","9","1","24","5","5","60","39.33","1.45","50.26","38.95","13.99","61.85","2008.63","2545.25","","2.45","6.46","4.06","0.19","2.32","1.41","","196.79","133.38","34.93","65.07","18.36","2.56","11.8","-1.86","1.44","4.33","4.18","107.63","19.51","121.71","7.45","","-0.03","0","59.92","1.23","","1.58","","3.62","43.2","17.81","34.62","11.11","17.34","14.63","CGCL","531595","INE180C01042"
"22","Neuland Laboratories","11","1","13","7","5","60","24.83","16.87","52.19","52.37","44.96","23.27","343.77","404.51","102.06","10.13","7.07","7.21","-4.84","2.45","2.45","","1504.57","307.55","596.79","21.37","15.66","12.84","36.79","12.65","37.81","10.55","10.71","194.88","597.05","-14.13","187.18","","-0.01","0","32.63","2.45","","41.43","","0.09","16.23","22.64","23.07","17.06","17.45","17.79","NEULANDLAB","524558","INE794A01010"
"23","Choice International","19","1","10","3","4","45","21.5","7.38","50.26","43.38","34.03","32.5","295.88","345.76","","14.93","6.46","14.96","4.56","2.32","1.35","","1208.92","203.71","17.73","33.78","19.44","2.56","11.8","11.49","23.45","11.01","17.11","18.03","15.55","19.31","8.47","","-2.95","13.94","53.65","1.58","","4.48","","0.47","20.16","17.81","35.44","16.5","17.34","28.72","CHOICEIN","531358","INE102B01014"
"24","Godawari Power ","9","0","9","3","4","50","38","9.91","60.22","59.53","8.29","23.99","1289.69","1208.84","214.6","3.15","6.45","2.99","-1.33","5.83","2.57","","386.68","-44.66","-25.24","20.82","13.78","-12.63","18.76","-11.38","-13.53","2.05","3.08","-79.74","-25.28","-16.77","11.08","","-0.02","0","63.49","2.42","","23.28","","0.06","21.73","23.41","10.65","16.54","24.83","6.51","GPIL","532734","INE177H01039"
"25","Gujarat State ","14","1","10","1","6","50","52","2.51","45.6","47.11","5.95","17.5","3040.95","2949.65","","1.39","4.75","4.24","-0.69","2.66","0.7","","-35.74","-32.18","-1.54","15.53","6.46","-5.25","3.78","-14.26","9.08","0.95","1.02","9.64","-1.52","-22.94","18.65","","0","0","37.63","1.58","","81.38","1.4","0","13.49","12.33","14.46","9.54","14.71","14.7","GSPL","532702","INE246F01010"
"26","KEC International","8","1","19","8","7","80","48.67","2.11","51.2","49.49","15.16","7.2","1574.76","1724.93","459.7","2.96","12.04","9.55","0.39","3.49","3.57","","0.92","71.87","29.01","7.26","2.93","23.52","10.25","45.5","4.63","0.95","0.71","81.93","29.06","62.02","25.66","","0","0","50.1","1.19","","2.37","166.83","0.69","23.36","24.14","21.54","10.67","20.49","18.92","KEC","532714","INE389H01022"
"27","Prime Focus","5","0","13","5","3","45","9.5","1.86","41.72","40.34","7.78","28.13","1012.66","861.65","","9.65","297.38","586.41","6.22","3.29","4.59","","-186.78","-119.8","-94.18","25.13","-5.68","-5.35","-113.05","410.51","-548.15","0.75","4.22","-94.05","-95.12","-11.96","-2.91","","-0.03","0","60.77","0.67","","1.88","","5.39","14.43","20.68","25.82","-49.69","18.46","32.54","PFOCUS","532748","INE367G01038"
"28","Sarda Energy & Minerals","11","2","16","1","5","65","50.17","4.22","60.22","59.53","14.41","30.36","1409.74","1962.45","","2.4","6.45","2.99","0.21","5.83","2.57","","453.92","-12.98","-25.6","30.92","18.59","-12.63","18.76","-11.38","-13.53","3.88","2.94","65.23","-25.63","75.53","30.17","","0","0","73.16","3.06","","6.4","","0.45","12.51","23.41","10.65","11.13","24.83","6.51","SARDAEN","504614","INE385C01021"
"29","Gujarat Mineral","6","1","20","4","6","75","46.83","8.92","60.22","46.94","8.03","34.84","993.32","1417.4","","2.5","6.45","4.08","0.29","5.83","0.88","","368.13","69.34","184.39","19.43","37.16","-12.63","18.76","-37.25","-1.68","2.96","6.23","264.43","184.47","57.8","31.55","","0","0","74","4.72","","455.65","","0.02","12.43","23.41","24.12","10.69","24.83","28.69","GMDCLTD","532181","INE131A01031"
